"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/Jonger dan 5 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/5 tot 10 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/10 tot 15 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/15 tot 20 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/20 tot 25 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/25 tot 45 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/45 tot 65 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/65 tot 80 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/80 jaar of ouder (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Totaal met migratieachtergrond (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Westerse migratieachtergrond (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Totaal niet-westerse migratieachtergrond (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Marokko (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/(voormalige) Nederlandse Antillen, Aruba (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Suriname (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Turkije (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Overig niet-westerse migratieachtergrond (%)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (personen per 1 huishouden)";"Bouwen en wonen/Waarde onroerende zaken/Gemiddelde woningwaarde (1 000 euro)"
"1995";"Aa en Hunze";;;;;;;;;;;;;;;;;;;
"1996";"Aa en Hunze";;;;;;;;;;;;;;;;;;;
"1997";"Aa en Hunze";;;;;;;;;;;;;;;;;;;
"1998";"Aa en Hunze";5,7;6,2;5,6;5,3;4,4;28,8;27,7;12,5;3,7;5,6;3,9;1,7;0;0,2;0,2;0;1,2;2,48;79
"1999";"Aa en Hunze";5,8;6,2;5,7;5;4,1;28,6;28,3;12,6;3,7;5,5;4;1,5;0;0,2;0,2;0;1;2,45;80
"2000";"Aa en Hunze";5,9;6,2;5,8;5;3,8;28,1;28,8;12,6;3,8;5,7;3,9;1,7;0;0,2;0,2;0;1,3;2,44;80
"2001";"Aa en Hunze";5,9;6,2;5,9;5,2;3,8;27,5;29,2;12,3;3,9;6,5;4,3;2,1;0;0,2;0,2;0,1;1,6;2,43;139
"2002";"Aa en Hunze";6,1;6,2;6;5,3;3,8;27;29,4;12,1;4,1;7,1;4,6;2,5;0;0,1;0,2;0,1;1,9;2,43;140
"2003";"Aa en Hunze";5,9;5,9;6,3;5,3;3,7;26,1;30,1;12,5;4,1;5,9;4,1;1,8;0;0,1;0,3;0,1;1,3;2,41;140
"2004";"Aa en Hunze";5,8;5,9;6,3;5,4;3,6;25,3;30,8;12,7;4,2;5,1;3,8;1,3;0;0,1;0,3;0;0,8;2,4;141
"2005";"Aa en Hunze";5,6;6,2;6,3;5,2;3,5;24,7;31,2;13,1;4,3;5;3,8;1,3;0;0,1;0,3;0;0,8;2,4;212
"2006";"Aa en Hunze";5,6;6,2;6,4;5,3;3,3;24;31,7;13,2;4,3;5,1;3,8;1,3;0;0,1;0,3;0,1;0,8;2,39;212
"2007";"Aa en Hunze";5,2;6,3;6,3;5,5;3,3;23,4;32,4;13,4;4,3;5,1;3,8;1,3;0;0,1;0,3;0;0,8;2,37;239
"2008";"Aa en Hunze";5;6,3;6,1;5,8;3,3;22,6;32,8;13,5;4,5;5,2;3,9;1,3;0;0,1;0,3;0;0,8;2,36;253
"2009";"Aa en Hunze";4,8;6,2;6,2;5,9;3,3;22,1;33;13,9;4,6;5,7;4;1,8;0;0,1;0,4;0;1,2;2,34;261
"2010";"Aa en Hunze";4,6;6,1;6,5;5,8;3,2;21,1;33,6;14,4;4,7;5,8;4;1,8;0;0,1;0,3;0;1,2;2,34;263
"2011";"Aa en Hunze";4,5;5,9;6,3;5,8;3,5;20,6;34;14,7;4,7;6,1;4;2,1;0;0,1;0,3;0,5;1,2;2,29;261
"2012";"Aa en Hunze";4,3;5,6;6,5;5,7;3,6;19,9;33,9;15,7;4,9;6,2;4;2,1;0;0,1;0,3;0,5;1,2;2,28;254
"2013";"Aa en Hunze";4;5,5;6,5;5,8;3,8;19,1;33,9;16,6;4,9;5,7;4;1,7;0;0,1;0,3;0;1,2;2,26;240
"2014";"Aa en Hunze";3,8;5,2;6,5;5,8;3,7;18,6;33,9;17,4;5,2;5,8;4,1;1,7;0,1;0,1;0,3;0;1,2;2,28;224
"2015";"Aa en Hunze";3,7;5;6,2;6;3,7;17,9;33,9;18,2;5,4;5,8;4,1;1,7;0;0,1;0,3;0;1,2;2,27;217
"2016";"Aa en Hunze";3,7;4,8;6,1;6,1;3,7;17,5;33,8;18,7;5,6;5,9;4,2;1,7;0;0,1;0,3;0;1,3;2,26;217
"2017";"Aa en Hunze";3,7;4,6;5,8;6,3;3,8;17,3;33,5;19,2;5,7;6,3;4,2;2,1;0;0,1;0,3;0;1,6;2,25;227
"2018";"Aa en Hunze";3,7;4,5;5,7;6,3;3,8;17,3;33,1;19,8;5,8;6,5;4,2;2,3;0;0,1;0,2;0;1,9;2,24;229
"2019";"Aa en Hunze";3,6;4,6;5,4;6,2;4,1;17,1;32,9;20,1;5,9;6,7;4,2;2,5;0,1;0,1;0,3;0,1;2;2,23;246
"2020";"Aa en Hunze";3,7;4,6;5,3;6,1;4,2;17,2;32,4;20,3;6,2;6,7;4,2;2,5;0;0,2;0,2;0,1;2;2,23;261
"2021";"Aa en Hunze";3,7;4,5;5,2;5,9;4,3;17,6;31,7;20,7;6,4;6,6;4,2;2,4;0;0,1;0,2;0,1;2;2,23;
"1995";"Aalburg";8,2;7,7;7,6;6,9;7,8;29,6;20,4;8,9;2,8;;;;;;;;;3,01;
"1996";"Aalburg";8,3;7,7;7,4;7,2;7,2;29,9;20,4;9;2,9;2,8;2,2;0,6;0,1;0;0,3;0;0,2;2,97;
"1997";"Aalburg";8,2;7,8;7,5;7,1;6,7;30;21;8,8;2,8;3;2,2;0,8;0,1;0;0,3;0;0,4;2,97;105
"1998";"Aalburg";7,9;7,9;7,4;7,2;6,6;30,1;21,2;9,1;2,7;3;2,2;0,8;0,1;0;0,3;0;0,5;2,91;105
"1999";"Aalburg";8,2;7,9;7,5;7;6,2;30,1;21,3;8,9;2,7;3,1;2,2;0,9;0,1;0;0,3;0;0,5;2,92;105
"2000";"Aalburg";7,8;8,2;7,5;7,1;6,1;29,8;21,7;8,9;2,8;3;2,2;0,8;0,1;0;0,3;0;0,4;2,91;109
"2001";"Aalburg";7,8;8;7,6;7;6,2;29,7;22,1;8,7;2,9;3,2;2,3;0,8;0,1;0;0,2;0;0,4;2,91;157
"2002";"Aalburg";7,9;8;7,4;7,1;6;29,3;22,4;8,8;2,9;3,1;2,4;0,8;0,1;0;0,2;0;0,4;2,9;158
"2003";"Aalburg";7,9;7,8;7,6;7;6,3;28,9;22,7;9;2,8;3,3;2,5;0,9;0,1;0;0,2;0;0,5;2,9;159
"2004";"Aalburg";7,6;8,1;7,7;7;6,3;28,4;22,9;9,1;2,9;3,4;2,5;0,9;0,1;0;0,2;0,1;0,5;2,91;159
"2005";"Aalburg";7,4;7,8;8,1;6,9;6,1;28,3;23,2;9,2;3;3,4;2,5;0,9;0,1;0;0,2;0;0,6;2,88;249
"2006";"Aalburg";7,2;7,8;7,8;7,1;6;28,2;23,6;9,2;3,2;3,8;2,7;1,1;0,1;0;0,2;0;0,7;2,87;246
"2007";"Aalburg";6,7;7,8;7,8;7,1;6,4;27,7;24,1;9,2;3,2;3,6;2,6;1;0,1;0,1;0,2;0;0,6;2,84;262
"2008";"Aalburg";6,5;7,8;7,6;7,1;6,3;27,7;24,4;9,3;3,4;3,8;2,7;1,1;0,1;0,1;0,2;0;0,7;2,81;277
"2009";"Aalburg";6,4;7,6;7,8;7,1;6;27,2;25,1;9,4;3,4;4,1;2,9;1,1;0,1;0,1;0,2;0,1;0,7;2,78;293
"2010";"Aalburg";6,4;7,3;7,5;7,3;6;26,7;25,5;9,8;3,5;4,2;3;1,2;0,1;0,1;0,2;0,1;0,8;2,75;296
"2011";"Aalburg";6,4;7,1;7,6;7,2;6;26,2;26,1;9,8;3,6;4,5;3,2;1,3;0,1;0,1;0,1;0,1;0,9;2,76;277
"2012";"Aalburg";6,4;6,8;7,7;7,2;6;25,1;26,5;10,6;3,6;4,7;3,4;1,4;0,1;0,1;0,1;0,1;1;2,75;274
"2013";"Aalburg";6,5;6,5;7,7;6,9;6,1;24,6;26,8;11,2;3,8;4,7;3,4;1,3;0,1;0;0,1;0,1;0,9;2,72;266
"2014";"Aalburg";6,3;6,4;7,5;7,2;6;24,3;26,8;11,7;3,8;4,8;3,5;1,3;0,1;0;0,1;0,2;0,9;2,68;249
"2015";"Aalburg";6,3;6,4;7,4;6,9;6,2;23,9;26,9;12,2;3,8;5;3,6;1,4;0,1;0;0,1;0,2;1;2,66;241
"2016";"Aalburg";6,3;6,4;7,1;7,2;6,2;23,4;27,3;12,5;3,8;5,5;3,8;1,7;0,1;0;0,1;0,1;1,3;2,65;240
"2017";"Aalburg";6,1;6,5;6,8;7,2;6,3;23;27,4;13,1;3,7;5,8;3,8;2;0,1;0;0,1;0,1;1,6;2,63;244
"2018";"Aalburg";5,9;6,7;6,5;7,3;6,1;22,8;27,7;13,1;3,9;6;3,9;2,1;0,1;0,1;0,2;0,1;1,7;2,61;251
"2019";"Aalburg";;;;;;;;;;;;;;;;;;;
"2020";"Aalburg";;;;;;;;;;;;;;;;;;;
"2021";"Aalburg";;;;;;;;;;;;;;;;;;;
"1995";"Aalsmeer";6,3;5,6;5,3;5,9;7,7;29,8;26,7;9,7;3;;;;;;;;;2,54;
"1996";"Aalsmeer";6,3;5,8;5,1;5,9;7;30;26,9;10;3;9,7;6,8;3;0,9;0,1;0,4;0,1;1,5;2,51;
"1997";"Aalsmeer";6;6,1;5;5,6;6,6;30,5;26,8;10,1;3,1;10,2;7;3,2;0,9;0,1;0,5;0,1;1,7;2,46;103
"1998";"Aalsmeer";5,9;6,3;5,1;5,4;6,2;30,8;26,8;10,4;3;10,4;7;3,4;0,9;0,1;0,5;0,1;1,7;2,44;103
"1999";"Aalsmeer";5,8;6,2;5,5;5,2;5,6;30,8;27,1;10,7;3,1;10,7;7,1;3,5;1;0,1;0,5;0,1;1,8;2,42;103
"2000";"Aalsmeer";5,7;6,4;5,6;5,1;5,2;30,8;27,1;11;3,2;10,8;7,1;3,7;1;0,2;0,5;0,1;1,9;2,43;104
"2001";"Aalsmeer";5,7;6,4;5,9;5;5;30,4;27,2;11,2;3,2;11,2;7,3;3,8;1;0,2;0,5;0,1;2;2,43;185
"2002";"Aalsmeer";6;6,1;6,1;5;4,8;30;27,6;11,2;3,3;11,4;7,6;3,9;1,1;0,2;0,5;0,1;2;2,41;186
"2003";"Aalsmeer";6;5,9;6,2;5,2;4,8;29,4;27,8;11,3;3,4;11,5;7,5;4;1,1;0,2;0,5;0,1;2,1;2,41;188
"2004";"Aalsmeer";6;5,9;6,2;5,4;4,6;28,6;28,2;11,5;3,7;11,7;7,6;4,1;1,2;0,2;0,6;0,1;2;2,4;189
"2005";"Aalsmeer";6;5,8;6,3;5,6;4,5;28,2;28,3;11,6;3,7;12,2;7,9;4,3;1,2;0,2;0,7;0,1;2,1;2,39;273
"2006";"Aalsmeer";6,1;5,8;6,4;5,6;4,5;28,1;28,1;11,7;3,7;13;8,4;4,5;1,2;0,2;0,8;0,2;2,2;2,39;274
"2007";"Aalsmeer";6,1;6,2;6,1;5,8;4,4;28,1;27,9;11,6;3,8;13,3;8,5;4,7;1,1;0,2;0,9;0,2;2,3;2,4;282
"2008";"Aalsmeer";6,4;6,5;5,9;5,9;4,3;28,2;27,3;11,6;3,9;13,9;8,7;5,2;1,2;0,2;0,9;0,2;2,6;2,41;299
"2009";"Aalsmeer";6,8;6,7;6;5,7;4,5;28,5;26,9;11,3;3,7;14,6;9;5,6;1,2;0,3;1,2;0,2;2,7;2,42;307
"2010";"Aalsmeer";6,8;7;5,9;5,8;4,6;28,3;26,7;11,3;3,6;15,1;9,2;5,9;1,2;0,4;1,2;0,3;2,9;2,42;312
"2011";"Aalsmeer";6,9;7;6;5,8;4,8;27,6;26,9;11,3;3,7;15,6;9,5;6,1;1,2;0,3;1,3;0,3;3;2,43;311
"2012";"Aalsmeer";6,7;6,9;6,3;5,7;4,9;26,8;26,9;11,9;3,9;16;9,7;6,3;1,2;0,3;1,3;0,3;3,2;2,44;302
"2013";"Aalsmeer";6,3;7;6,6;5,6;5;26;27;12,5;4,1;16,5;10;6,5;1,3;0,4;1,3;0,3;3,3;2,44;291
"2014";"Aalsmeer";6;7,1;6,7;5,6;4,8;25,3;27,3;13,1;4,2;16,7;10,1;6,6;1,3;0,4;1,4;0,3;3,3;2,43;276
"2015";"Aalsmeer";5,8;6,9;7;5,5;4,9;24,4;27,8;13,3;4,3;17,5;10,6;6,9;1,3;0,3;1,4;0,3;3,5;2,42;277
"2016";"Aalsmeer";5,5;6,8;7;5,7;5,1;23,6;28,4;13,5;4,5;18,1;10,8;7,2;1,4;0,4;1,4;0,3;3,8;2,41;283
"2017";"Aalsmeer";5,1;6,7;6,9;6,1;5,1;23;29;13,6;4,6;18,7;11,1;7,5;1,4;0,4;1,4;0,4;4;2,4;294
"2018";"Aalsmeer";4,9;6,4;7;6,3;5;22,6;29,5;13,7;4,6;19,2;11,1;8,1;1,4;0,4;1,5;0,4;4,4;2,4;304
"2019";"Aalsmeer";4,7;6,2;7,1;6,4;5,1;22,3;29,7;13,8;4,6;19,8;11,2;8,6;1,4;0,4;1,5;0,4;4,9;2,4;344
"2020";"Aalsmeer";4,5;6,1;7;6,7;5;22,2;30;13,8;4,7;20,4;11,3;9,1;1,4;0,4;1,5;0,5;5,3;2,39;367
"2021";"Aalsmeer";4,4;5,8;6,8;6,8;5,2;22,1;30,1;13,8;4,9;21,5;11,6;9,9;1,6;0,4;1,6;0,6;5,7;2,38;
"1995";"Aalten";6,6;6,5;6,6;6,2;6,8;29,2;23;11,9;3,2;;;;;;;;;2,67;
"1996";"Aalten";6,7;6,7;6,3;6,1;6,5;29,3;23,2;11,9;3,3;8,8;6,3;2,5;0;0;0,2;1,5;0,9;2,65;
"1997";"Aalten";6,6;6,8;6,5;6,1;6;29,7;23,3;11,7;3,4;9,4;6,4;3;0;0;0,2;1,5;1,3;2,61;67
"1998";"Aalten";6,4;6,9;6,6;6,2;5,7;29,7;23,5;11,7;3,4;9,9;6,4;3,5;0;0;0,1;1,5;1,8;2,61;67
"1999";"Aalten";6,5;6,6;6,8;6,3;5,1;29,7;23,8;11,8;3,4;9,8;6,6;3,3;0;0;0,2;1,6;1,4;2,58;68
"2000";"Aalten";6,5;6,7;6,7;6,3;5,1;29,3;24,2;11,9;3,2;9,8;6,6;3,2;0;0;0,2;1,7;1,3;2,58;68
"2001";"Aalten";6,6;6,9;6,8;6;5;28,8;24,5;12;3,4;9,8;6,6;3,2;0;0;0,2;1,8;1,2;2,57;136
"2002";"Aalten";6,6;6,6;6,8;6,2;5,1;28,4;25;11,7;3,6;10,1;6,6;3,5;0;0;0,2;1,8;1,4;2,57;136
"2003";"Aalten";6,6;6,3;7;6,2;5;27,9;25,4;11,8;3,7;10,5;6,8;3,7;0;0;0,2;1,8;1,6;2,55;136
"2004";"Aalten";6,6;6,5;6,9;6,3;5,1;27,5;25,6;11,7;3,8;10,8;6,8;4;0;0;0,2;1,8;1,9;2,54;137
"2005";"Aalten";6;6,3;6,8;6,1;4,9;27,8;26,7;11,5;3,9;12,4;9,4;3;0;0;0,2;1,3;1,5;2,51;200
"2006";"Aalten";5,9;6,4;6,6;6,2;4,7;27,4;27,1;11,8;3,9;12,4;9,4;3;0;0;0,2;1,3;1,5;2,48;200
"2007";"Aalten";5,9;6,4;6,3;6,2;4,7;26,6;27,8;12;4;12,3;9,3;3;0;0,1;0,2;1,3;1,5;2,46;213
"2008";"Aalten";5,8;6,5;6,2;6,3;4,7;25,9;28,3;12,2;4,1;12,3;9,1;3,1;0;0,1;0,2;1,3;1,5;2,47;224
"2009";"Aalten";5,8;6,3;6,4;6,1;4,5;25,3;28,7;12,6;4,3;11,9;8,9;3;0;0,1;0,2;1,3;1,4;2,44;229
"2010";"Aalten";5,7;6,3;6,4;6,2;4,7;24,7;29;12,6;4,4;12,2;8,8;3,3;0;0,1;0,2;1,3;1,8;2,42;231
"2011";"Aalten";5,7;6;6,4;6,2;4,9;24;29,4;12,9;4,5;12;8,7;3,3;0;0,1;0,1;1,3;1,8;2,42;226
"2012";"Aalten";5,5;6,1;6,5;5,9;4,8;23,5;29,4;13,7;4,6;11,7;8,6;3,1;0;0,1;0,1;1,3;1,6;2,41;217
"2013";"Aalten";5,2;6,1;6,6;5,7;4,8;22,8;29,7;14,4;4,7;11,1;8,4;2,7;0;0,1;0,2;1,3;1,1;2,39;210
"2014";"Aalten";5,1;6,1;6,5;6;4,6;22,3;29,8;14,9;4,8;11;8,3;2,7;0;0,1;0,2;1,2;1,2;2,38;194
"2015";"Aalten";4,7;6;6,4;6;4,7;21,7;30,1;15,4;5;10,9;8,3;2,7;0;0,1;0,2;1,2;1,2;2,37;187
"2016";"Aalten";4,6;6;6,2;6,1;4,7;21,2;30,4;15,6;5,2;11;8,1;2,9;0;0,1;0,2;1,2;1,4;2,35;184
"2017";"Aalten";4,5;5,7;6,2;6,2;4,7;20,9;30,5;15,9;5,2;11,7;8,1;3,6;0;0,1;0,2;1,2;2;2,34;189
"2018";"Aalten";4,5;5,5;6,3;6,3;4,6;20,4;30,8;16,4;5,3;11,3;8;3,3;0;0,1;0,2;1,2;1,8;2,34;195
"2019";"Aalten";4,4;5,2;6,2;6,2;5;20;30,8;16,7;5,4;11,2;7,9;3,3;0,1;0,1;0,1;1,2;1,8;2,33;206
"2020";"Aalten";4,4;5;6,1;6,2;5;20,1;30,6;17,1;5,4;11,4;8;3,4;0,1;0,2;0,1;1,1;1,9;2,31;220
"2021";"Aalten";4,5;4,9;6,1;6;5,1;20,2;30,4;17,4;5,5;11,5;8;3,6;0,1;0,2;0,1;1,2;2;2,31;
"1995";"Ter Aar";7,5;7,9;7,5;7,3;7;31,6;22,6;6,7;1,8;;;;;;;;;3;
"1996";"Ter Aar";7,3;7,8;7,4;7,5;6,7;31,2;23,3;6,9;1,9;5,7;3,8;1,9;0,9;0,2;0,3;0;0,5;2,95;
"1997";"Ter Aar";6,8;7,7;7,7;7,1;6,9;30,9;24;7;1,9;5,8;3,9;1,9;0,9;0,2;0,3;0;0,6;2,9;94
"1998";"Ter Aar";6,8;7,6;7,7;6,9;6,6;30,6;24,6;7,3;1,9;6;3,9;2;0,8;0,2;0,3;0;0,7;2,89;94
"1999";"Ter Aar";6,9;7,4;7,9;6,9;6,3;30;25,4;7,3;2;6,2;3,9;2,3;0,9;0,2;0,3;0;0,9;2,89;95
"2000";"Ter Aar";7;7,5;7,8;7,1;5,9;29,3;25,8;7,4;2,1;6;3,7;2,3;0,8;0,2;0,3;0;1;2,87;95
"2001";"Ter Aar";6,8;7,4;7,8;7;5,9;28,8;26,2;7,9;2,2;6,1;3,8;2,3;0,8;0,2;0,3;0;1;2,82;178
"2002";"Ter Aar";6,8;7,1;7,8;7,5;5,6;28,1;26,7;8,1;2,3;6,1;3,9;2,2;0,7;0,2;0,3;0;0,9;2,81;177
"2003";"Ter Aar";6,5;6,9;7,8;7,6;5,6;27,4;27,5;8,3;2,3;6,4;3,9;2,5;0,8;0,2;0,3;0;1,2;2,82;177
"2004";"Ter Aar";6,1;6,8;7,7;7,6;5,5;26,4;28,5;8,8;2,5;6,4;3,9;2,6;0,7;0,2;0,4;0,1;1,2;2,78;180
"2005";"Ter Aar";5,8;7;7,6;7,6;5,7;25,5;29,1;9,3;2,4;6,5;4;2,5;0,8;0,2;0,4;0,1;1,1;2,75;258
"2006";"Ter Aar";5,3;6,9;7,5;7,7;5,8;25,2;29,3;9,6;2,6;6,9;4,3;2,7;0,8;0,2;0,4;0,1;1,2;2,69;261
"2007";"Ter Aar";;;;;;;;;;;;;;;;;;;
"2008";"Ter Aar";;;;;;;;;;;;;;;;;;;
"2009";"Ter Aar";;;;;;;;;;;;;;;;;;;
"2010";"Ter Aar";;;;;;;;;;;;;;;;;;;
"2011";"Ter Aar";;;;;;;;;;;;;;;;;;;
"2012";"Ter Aar";;;;;;;;;;;;;;;;;;;
"2013";"Ter Aar";;;;;;;;;;;;;;;;;;;
"2014";"Ter Aar";;;;;;;;;;;;;;;;;;;
"2015";"Ter Aar";;;;;;;;;;;;;;;;;;;
"2016";"Ter Aar";;;;;;;;;;;;;;;;;;;
"2017";"Ter Aar";;;;;;;;;;;;;;;;;;;
"2018";"Ter Aar";;;;;;;;;;;;;;;;;;;
"2019";"Ter Aar";;;;;;;;;;;;;;;;;;;
"2020";"Ter Aar";;;;;;;;;;;;;;;;;;;
"2021";"Ter Aar";;;;;;;;;;;;;;;;;;;
"1995";"Aarle-Rixtel";6,3;6,7;6,3;6,4;6,6;31,5;24,6;8,2;3,3;;;;;;;;;2,75;
"1996";"Aarle-Rixtel";6,4;6,4;6,4;6,6;6,1;31,1;24,6;8,9;3,5;6,1;5,5;0,6;0;0,1;0,1;0;0,3;2,78;
"1997";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"1998";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"1999";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"2000";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"2001";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"2002";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"2003";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"2004";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"2005";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"2006";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"2007";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"2008";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"2009";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"2010";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"2011";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"2012";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"2013";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"2014";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"2015";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"2016";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"2017";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"2018";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"2019";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"2020";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"2021";"Aarle-Rixtel";;;;;;;;;;;;;;;;;;;
"1995";"Abcoude";7,4;6,7;5,6;5,7;5,6;30,3;26,3;10,6;1,9;;;;;;;;;2,49;
"1996";"Abcoude";7,2;7;5,6;5,5;5,3;29,8;26,6;11;2,1;13;9,9;3;0;0,4;0,6;0,1;1,8;2,48;
"1997";"Abcoude";7,2;6,9;5,6;5,6;4,8;30,2;26,5;11;2,2;13,2;10,1;3,1;0;0,4;0,7;0,1;1,9;2,47;141
"1998";"Abcoude";7,3;7;6;5,3;4,9;30,5;26;11;2,1;13,7;10,2;3,5;0;0,4;0,7;0,1;2,2;2,46;145
"1999";"Abcoude";7,6;7,3;6;5,1;4,2;30,1;26,3;11,1;2,3;14,5;10,8;3,7;0;0,4;0,8;0,2;2,3;2,46;146
"2000";"Abcoude";7,4;7,3;6,3;5,2;4,1;29,4;26,8;11,3;2,2;14,5;10,7;3,8;0,1;0,5;0,8;0,1;2,3;2,47;146
"2001";"Abcoude";7,9;7,3;6,4;5,1;3,9;28,9;26,7;11,5;2,3;14,5;10,5;3,9;0,1;0,4;0,9;0,1;2,5;2,47;238
"2002";"Abcoude";7,9;7,2;6,6;5,4;3,8;28,4;26,8;11,6;2,4;15,2;10,9;4,3;0;0,4;0,9;0,1;2,8;2,49;238
"2003";"Abcoude";8,1;7,2;6,7;5,7;3,6;27,6;26,7;11,7;2,5;15;10,7;4,3;0;0,4;1;0,1;2,8;2,51;239
"2004";"Abcoude";7,6;7,6;6,9;5,6;3,5;27;27,1;12;2,6;15,1;10,6;4,5;0;0,4;1;0,1;2,9;2,51;238
"2005";"Abcoude";7,4;7,8;7,1;5,9;3,2;25,9;27,8;12,1;2,8;15,2;10,5;4,7;0;0,5;1;0,1;3;2,5;359
"2006";"Abcoude";7,3;8,2;7,1;5,9;3;25,6;27,8;12,3;2,9;15,2;10,4;4,8;0,1;0,5;1,1;0,1;3,1;2,51;360
"2007";"Abcoude";7,1;8,1;7;6;3,2;24,9;28,2;12,5;3,1;15,7;10,7;5,1;0,1;0,5;1,1;0,1;3,3;2,49;388
"2008";"Abcoude";7;8,1;7,1;6;3,3;24,3;28,4;12,5;3,3;16;10,8;5,1;0,1;0,4;1,1;0,1;3,4;2,49;415
"2009";"Abcoude";6,8;8;7,5;6,2;3,3;23,1;29;12,7;3,4;16;11;5,1;0,2;0,4;1,2;0,1;3,3;2,49;426
"2010";"Abcoude";6,4;8;7,4;6,3;3,6;22,2;29,8;12,8;3,6;16,5;11,1;5,5;0,2;0,5;1,3;0,1;3,5;2,47;435
"2011";"Abcoude";;;;;;;;;;;;;;;;;;;
"2012";"Abcoude";;;;;;;;;;;;;;;;;;;
"2013";"Abcoude";;;;;;;;;;;;;;;;;;;
"2014";"Abcoude";;;;;;;;;;;;;;;;;;;
"2015";"Abcoude";;;;;;;;;;;;;;;;;;;
"2016";"Abcoude";;;;;;;;;;;;;;;;;;;
"2017";"Abcoude";;;;;;;;;;;;;;;;;;;
"2018";"Abcoude";;;;;;;;;;;;;;;;;;;
"2019";"Abcoude";;;;;;;;;;;;;;;;;;;
"2020";"Abcoude";;;;;;;;;;;;;;;;;;;
"2021";"Abcoude";;;;;;;;;;;;;;;;;;;
"1995";"Achtkarspelen";6,4;7,1;7,5;7,5;7,6;30,3;22,2;8,9;2,5;;;;;;;;;2,72;
"1996";"Achtkarspelen";6,4;7;7,4;7,5;7,2;30,2;22,7;9;2,6;2,7;2,1;0,7;0;0;0,1;0;0,5;2,69;
